permit_type_code,permit_id,full_permit_number,permit_details_url,merged_permit_ids,address,city,issue_date,project_type,valuation,contractor,plan_doc_name,key_scope_terms,priority,reason
F209,2600540,F209-2600540,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F209-2600540,F209-2600540,28610 N 20TH AVE,PHOENIX,2/10/2026 8:47:36 PM,Commercial,0.00,SUNX SOLUTIONS LLC,RVSN-250796-01,,Trash,no_hvac_signal
WSSD,26002180,WSSD-26002180,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=WSSD-26002180,WSSD-26002180,3334 W MCDOWELL RD,PHOENIX,2/10/2026 5:41:30 PM,Residential,0.00,METRO FIRE EQUIPMENT,SPAD-0012373,,Trash,negative=fire
RPV,26002179,RPV-26002179,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26002179,RPV-26002179,418 W FELLARS DR,PHOENIX,2/10/2026 4:53:29 PM,Commercial,31283.30,CAPITAL ENERGY LLC,SPAD-2600168,,Trash,no_hvac_signal
F800,2600539,F800-2600539,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600539,F800-2600539,418 W FELLARS DR,PHOENIX,2/10/2026 4:53:29 PM,Commercial,0.00,CAPITAL ENERGY LLC,SPAD-2600168,,Trash,no_hvac_signal
LPRR,2600769,LPRR-2600769,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=LPRR-2600769,LPRR-2600769,201 E INDIANOLA AVE,PHOENIX,2/10/2026 4:42:57 PM,Commercial,883120.00,TO BE BID,,,Trash,no_hvac_signal
F800,2600538,F800-2600538,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=F800-2600538,F800-2600538,4132 W BRADSHAW CREEK LN,PHOENIX,2/10/2026 4:22:44 PM,Commercial,0.00,CAPITAL ENERGY LLC,SPAD-1910225,,Trash,no_hvac_signal
RPV,26002178,RPV-26002178,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26002178,RPV-26002178,4132 W BRADSHAW CREEK LN,PHOENIX,2/10/2026 4:19:20 PM,Commercial,53632.40,CAPITAL ENERGY LLC,SPAD-1910225,,Trash,no_hvac_signal
FPPD,260224,FPPD-260224,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260224,FPPD-260224,3410 S 51ST AVE,PHOENIX,2/10/2026 4:08:48 PM,Commercial,0.00,JOHNSON CONTROLS INC.,,,Trash,no_hvac_signal
FPPD,260224,FPPD-260224,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=FPPD-260224,FPPD-260224,3410 S 51ST AVE,PHOENIX,2/10/2026 4:08:48 PM,Commercial,0.00,JOHNSON CONTROLS INC.,,,Trash,no_hvac_signal
DEM,26002177,DEM-26002177,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=DEM-26002177,DEM-26002177,1312 GRAND AVE,PHOENIX,2/10/2026 4:06:35 PM,Commercial,5000.00,AMERICAN WOLF CONSTRUCTION LLC,SPAD-0310385,,Trash,no_hvac_signal
RPV,26002175,RPV-26002175,https://apps-secure.phoenix.gov/PDD/Search/PermitDetails?permitNum=RPV-26002175,RPV-26002175,4626 E BRILLIANT SKY DR,PHOENIX,2/10/2026 3:59:06 PM,Commercial,18450.00,CAPITAL ENERGY LLC,SPAD-0102670,,Trash,no_hvac_signal
