full_permit_number,permit_details_url,pdf_count_found,pdf_files_saved,status,note
LPRM-2600756,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600756,0,,error,fetch failed
LPRM-2600753,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600753,0,,error,fetch failed
LPRM-2600752,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600752,0,,error,fetch failed
LPCO-2600768,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPCO-2600768,0,,error,fetch failed
LPBI-2600763,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600763,0,,error,fetch failed
LPRM-2600761,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600761,0,,error,fetch failed
LPRM-2600760,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600760,0,,error,fetch failed
LPBI-2600758,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600758,0,,error,fetch failed
LPSG-260130,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260130,0,,error,fetch failed
LPRR-2600721,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600721,0,,error,fetch failed
LPBI-2600738,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600738,0,,error,fetch failed
LPRR-2600737,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600737,0,,error,fetch failed
LPRM-2600733,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600733,0,,error,fetch failed
LPRN-2600683,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRN-2600683,0,,error,fetch failed
LPRM-2600680,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600680,0,,error,fetch failed
LPRR-2600678,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600678,0,,error,fetch failed
LPRM-2600711,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600711,0,,error,fetch failed
LPRM-2600709,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600709,0,,error,fetch failed
LPRM-2600707,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600707,0,,error,fetch failed
LPRM-2600693,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600693,0,,error,fetch failed
LPRM-2600662,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600662,0,,error,fetch failed
LPRM-2600661,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600661,0,,error,fetch failed
LPSG-260123,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260123,0,,error,fetch failed
LPRM-2600654,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600654,0,,error,fetch failed
LPRR-2600670,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600670,0,,error,fetch failed
LPSG-260124,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260124,0,,error,fetch failed
LPRM-2600667,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600667,0,,error,fetch failed
LPBI-2600637,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600637,0,,error,fetch failed
LPRM-2600634,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600634,0,,error,fetch failed
LPBI-2600632,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600632,0,,error,fetch failed
LPSG-260117,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260117,0,,error,fetch failed
LPRM-2600650,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600650,0,,error,fetch failed
LPRN-2600642,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRN-2600642,0,,error,fetch failed
LPBI-2600639,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPBI-2600639,0,,error,fetch failed
LPSG-260114,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260114,0,,error,fetch failed
LPSG-260113,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260113,0,,error,fetch failed
LPRT-2600615,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRT-2600615,0,,error,fetch failed
LPRM-2600631,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600631,0,,error,fetch failed
LPRM-2600619,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600619,0,,error,fetch failed
LPRM-2600569,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600569,0,,error,fetch failed
LPSG-260111,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260111,0,,error,fetch failed
LPSG-260110,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260110,0,,error,fetch failed
LPRM-2600535,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600535,0,,error,fetch failed
LPRX-2600531,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRX-2600531,0,,error,fetch failed
LPSG-260102,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260102,0,,error,fetch failed
LPRR-2600553,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600553,0,,error,fetch failed
LPRR-2600503,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRR-2600503,0,,error,fetch failed
LPSG-260097,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPSG-260097,0,,error,fetch failed
LPRM-2600514,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600514,0,,error,fetch failed
LPRM-2600512,https://apps-secure.phoenix.gov/PDD/Search/PlanReviews?permitNum=LPRM-2600512,0,,error,fetch failed
